[INFO] Training with hyperparameters: {'lr': 0.1, 'reg': 0.01, 'epochs': 30, 'batch_size': 128, 'hidden': [1024, 512], 'activation': 'relu', 'decay_every': 10, 'decay_rate': 0.5, 'output_path': '../ckpt/best_model_lr0.1_reg0.01_relu_hidden1024_512.npz', 'log_path': 'new_log/log_lr0.1_reg0.01_relu_hidden1024_512.txt'}
Epoch 1: val_acc = 0.2502, val_loss = 2.1624
Epoch 2: val_acc = 0.2666, val_loss = 2.1999
Epoch 3: val_acc = 0.2670, val_loss = 2.2456
Epoch 4: val_acc = 0.2674, val_loss = 2.2751
Epoch 5: val_acc = 0.2590, val_loss = 2.2905
Epoch 6: val_acc = 0.2428, val_loss = 2.2975
Epoch 7: val_acc = 0.2004, val_loss = 2.3006
Epoch 8: val_acc = 0.1590, val_loss = 2.3018
Epoch 9: val_acc = 0.1463, val_loss = 2.3023
Epoch 10: val_acc = 0.1070, val_loss = 2.3025
Epoch 11: val_acc = 0.0996, val_loss = 2.3026
Epoch 12: val_acc = 0.0994, val_loss = 2.3026
Epoch 13: val_acc = 0.0994, val_loss = 2.3026
Epoch 14: val_acc = 0.0994, val_loss = 2.3026
Epoch 15: val_acc = 0.0994, val_loss = 2.3026
Epoch 16: val_acc = 0.0945, val_loss = 2.3026
Epoch 17: val_acc = 0.0914, val_loss = 2.3026
Epoch 18: val_acc = 0.0914, val_loss = 2.3026
Epoch 19: val_acc = 0.0914, val_loss = 2.3026
Epoch 20: val_acc = 0.0914, val_loss = 2.3026
Epoch 21: val_acc = 0.0914, val_loss = 2.3026
Epoch 22: val_acc = 0.0914, val_loss = 2.3026
Epoch 23: val_acc = 0.0914, val_loss = 2.3026
Epoch 24: val_acc = 0.0914, val_loss = 2.3026
Epoch 25: val_acc = 0.0914, val_loss = 2.3026
Epoch 26: val_acc = 0.0914, val_loss = 2.3026
Epoch 27: val_acc = 0.0914, val_loss = 2.3026
Epoch 28: val_acc = 0.0914, val_loss = 2.3027
Epoch 29: val_acc = 0.0914, val_loss = 2.3027
Epoch 30: val_acc = 0.0914, val_loss = 2.3027
Test Accuracy: 0.2762
