[INFO] Training with hyperparameters: {'lr': 0.1, 'reg': 0.01, 'epochs': 30, 'batch_size': 128, 'hidden': [256, 128], 'activation': 'sigmoid', 'decay_every': 10, 'decay_rate': 0.5, 'output_path': '../ckpt/best_model_lr0.1_reg0.01_sigmoid_hidden256_128.npz', 'log_path': 'new_log/log_lr0.1_reg0.01_sigmoid_hidden256_128.txt'}
Epoch 1: val_acc = 0.1062, val_loss = 2.3046
Epoch 2: val_acc = 0.1023, val_loss = 2.3016
Epoch 3: val_acc = 0.1025, val_loss = 2.3021
Epoch 4: val_acc = 0.0965, val_loss = 2.3024
Epoch 5: val_acc = 0.0959, val_loss = 2.3027
Epoch 6: val_acc = 0.0904, val_loss = 2.3028
Epoch 7: val_acc = 0.0965, val_loss = 2.3028
Epoch 8: val_acc = 0.0965, val_loss = 2.3028
Epoch 9: val_acc = 0.0904, val_loss = 2.3029
Epoch 10: val_acc = 0.0904, val_loss = 2.3027
Epoch 11: val_acc = 0.0904, val_loss = 2.3028
Epoch 12: val_acc = 0.0904, val_loss = 2.3028
Epoch 13: val_acc = 0.0904, val_loss = 2.3028
Epoch 14: val_acc = 0.0904, val_loss = 2.3029
Epoch 15: val_acc = 0.0904, val_loss = 2.3028
Epoch 16: val_acc = 0.0904, val_loss = 2.3029
Epoch 17: val_acc = 0.0941, val_loss = 2.3029
Epoch 18: val_acc = 0.0941, val_loss = 2.3029
Epoch 19: val_acc = 0.0904, val_loss = 2.3028
Epoch 20: val_acc = 0.0904, val_loss = 2.3028
Epoch 21: val_acc = 0.0904, val_loss = 2.3028
Epoch 22: val_acc = 0.0904, val_loss = 2.3028
Epoch 23: val_acc = 0.0904, val_loss = 2.3028
Epoch 24: val_acc = 0.0904, val_loss = 2.3028
Epoch 25: val_acc = 0.0904, val_loss = 2.3028
Epoch 26: val_acc = 0.0904, val_loss = 2.3028
Epoch 27: val_acc = 0.0904, val_loss = 2.3029
Epoch 28: val_acc = 0.0904, val_loss = 2.3029
Epoch 29: val_acc = 0.0904, val_loss = 2.3029
Epoch 30: val_acc = 0.0904, val_loss = 2.3029
Test Accuracy: 0.1045
