[INFO] Training with hyperparameters: {'lr': 1.0, 'reg': 0.1, 'epochs': 30, 'batch_size': 128, 'hidden': [128, 64], 'activation': 'sigmoid', 'decay_every': 10, 'decay_rate': 0.5, 'output_path': '../ckpt/best_model_lr1_reg0.1_sigmoid_hidden128_64.npz', 'log_path': 'new_log/log_lr1_reg0.1_sigmoid_hidden128_64.txt'}
Epoch 1: val_acc = 0.0980, val_loss = 2.3026
Epoch 2: val_acc = 0.1033, val_loss = 2.3026
Epoch 3: val_acc = 0.0908, val_loss = 2.3029
Epoch 4: val_acc = 0.0980, val_loss = 2.3024
Epoch 5: val_acc = 0.0980, val_loss = 2.3026
Epoch 6: val_acc = 0.0980, val_loss = 2.3026
Epoch 7: val_acc = 0.0908, val_loss = 2.3029
Epoch 8: val_acc = 0.1008, val_loss = 2.3028
Epoch 9: val_acc = 0.1014, val_loss = 2.3027
Epoch 10: val_acc = 0.0961, val_loss = 2.3027
Epoch 11: val_acc = 0.1014, val_loss = 2.3028
Epoch 12: val_acc = 0.0973, val_loss = 2.3028
Epoch 13: val_acc = 0.1014, val_loss = 2.3027
Epoch 14: val_acc = 0.0980, val_loss = 2.3029
Epoch 15: val_acc = 0.0908, val_loss = 2.3030
Epoch 16: val_acc = 0.1033, val_loss = 2.3027
Epoch 17: val_acc = 0.1002, val_loss = 2.3027
Epoch 18: val_acc = 0.0908, val_loss = 2.3028
Epoch 19: val_acc = 0.0908, val_loss = 2.3030
Epoch 20: val_acc = 0.0908, val_loss = 2.3029
Epoch 21: val_acc = 0.0961, val_loss = 2.3026
Epoch 22: val_acc = 0.0961, val_loss = 2.3027
Epoch 23: val_acc = 0.0908, val_loss = 2.3028
Epoch 24: val_acc = 0.1008, val_loss = 2.3027
Epoch 25: val_acc = 0.0908, val_loss = 2.3027
Epoch 26: val_acc = 0.0980, val_loss = 2.3027
Epoch 27: val_acc = 0.0908, val_loss = 2.3028
Epoch 28: val_acc = 0.0908, val_loss = 2.3028
Epoch 29: val_acc = 0.0908, val_loss = 2.3028
Epoch 30: val_acc = 0.0908, val_loss = 2.3028
Test Accuracy: 0.1000
